Data File Name,2100 expert_High Sensitivity DNA Assay_DE13804795_2019-10-10_19-27-39.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2019-10-10
Date Created,"Thursday, October 10, 2019 10:27:38 AM"
Date Last Modified,"Thursday, October 10, 2019 11:09:01 AM"
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
72.6,0.1472861
72.65,0.1034708
72.7,7.555464E-02
72.75,2.435913E-02
72.8,-7.467334E-02
72.85,-0.1118835
72.9,-0.0848984
72.95,-1.921503E-03
73,0.1068104
73.05,-1.324607E-03
73.1,-0.1201731
73.15,-0.2371889
73.2,-0.2296833
73.25,-0.1871731
73.3,-9.501397E-04
73.35,-6.294975E-02
73.4,-0.2616856
73.45,-0.3127842
73.5,-0.3581626
73.55,-0.2047165
73.6,8.013377E-03
73.65,0.1853644
73.7,0.2334441
73.75,5.659859E-02
73.8,-0.1471933
73.85,-0.2445833
73.9,-0.3431272
73.95,-0.2367938
74,-8.941602E-02
74.05,-5.042874E-02
74.1,-0.211226
74.15,-0.2236324
74.2,-0.2472003
74.25,-0.3037115
74.3,-0.2370773
74.35,-0.1685786
74.4,-0.1359845
74.45,-0.1391673
74.5,-9.943847E-02
74.55,-0.1833348
74.6,-0.4008446
74.65,-0.4864626
74.7,-0.3529034
74.75,-0.1699722
74.8,-5.636518E-02
74.85,-2.432203E-02
74.9,-0.1645449
74.95,-0.4838153
75,-0.5996109
75.05,-0.4982327
75.1,-0.3262372
75.15,-0.2958913
75.2,-0.2199188
75.25,-0.3312504
75.3,-0.3437955
75.35,-0.1552221
75.4,-6.201073E-03
75.45,-3.919014E-02
75.5,-0.1991796
75.55,-0.1314043
75.6,-0.2412682
75.65,-0.3113307
75.7,-0.4151697
75.75,-0.3923075
75.8,-0.4460258
75.85,-0.3463793
75.9,-0.1508739
75.95,-0.2233239
76,-0.3464046
76.05,-0.4441145
76.1,-0.4337233
76.15,-0.3419237
76.2,-0.1221971
76.25,0.0519043
